sezona,soutez,tymu_s_postup_sestup
1958_59,"Liberecký, 5. úroveň, skupina Východ",4
1958_59,"Pardubický, 5. úroveň, skupina Orlicko",2
1958_59,"Královéhradecký, 4. úroveň, skupina A",1
1958_59,"Královéhradecký, 5. úroveň, skupina A",1
1958_59,"Jihlavský, 5. úroveň, skupina A",1
1958_59,"Brněnský, 5. úroveň, skupina A",1
1958_59,"Olomoucký, 5. úroveň, skupina Sever",6
1958_59,"Gottwaldovský, 5. úroveň, skupina Sever",1
1958_59,Slovensko Severní skupina,1
1959_60,II.liga sk. A,4
1959_60,"oblastni, 3. úroveň (krajský přebor), skupina A",1
1959_60,"Praha venkov, 4. úroveň, skupina A",2
1959_60,"Praha venkov, 5. úroveň, skupina A",4
1959_60,"Jihočeský, 5. úroveň západní skupina",4
1959_60,"Karlovarský, 4. úroveň, skupina A",2
1959_60,"Ústecký, 5. úroveň, skupina A",2
1959_60,"Pardubický, 5. úroveň, skupina Chrudimsko",5
1959_60,"Královéhradecký, 5. úroveň, skupina A",6
1959_60,"Jihlavský, 5. úroveň, skupina A",3
1959_60,"Brněnský, 4. úroveň, skupina A",5
1959_60,"Gottwaldovský, 4. úroveň",5
1959_60,"Gottwaldovský, 5. úroveň, skupina Jih",2
1960_61,II.liga sk. A,3
1960_61,"Středočeský, 4. úroveň, skupina A",4
1960_61,"Jihočeský, 4. úroveň, skupina Západ",5
1960_61,"Západočeský, 4. úroveň, skupina C",2
1960_61,"Severočeský, 4. úroveň, skupina Liberecká",7
1960_61,"Severomoravský, 4. úroveň, skupina A",1
1961_62,II.liga sk. A,2
1961_62,"Západočeský, 4. úroveň, skupina A",1
1961_62,"Východočeský, 4. úroveň, skupina A",1
1961_62,"Jihomoravský, 4. úroveň, skupina A",1
1961_62,"Severomoravský, 4. úroveň, skupina A",4
1962_63,II.liga sk. A,1
1962_63,"Praha, 3. úroveň (krajský přebor)",2
1962_63,"Středočeský, 4. úroveň, skupina A",1
1962_63,"Západočeský, 4. úroveň, skupina B",1
1962_63,"Východočeský, 4. úroveň, skupina A",1
1962_63,"Jihomoravský, 4. úroveň, skupina D",2
1963_64,"Středočeský, 4. úroveň, skupina A",4
1963_64,"Západočeský, 4. úroveň, skupina A",1
1963_64,"Východočeský, 4. úroveň, skupina A",3
1963_64,"Jihomoravský, 4. úroveň, skupina C",5
1963_64,"Severomoravský, 4. úroveň, skupina D",7
1964_65,"Praha, 3. úroveň (krajský přebor)",2
1964_65,"Východočeský, 4. úroveň, skupina A",1
1965_66,II.liga sk. A,2
1965_66,"Praha, 4. úroveň, skupina A",4
1965_66,"Jihočeský, 3. úroveň (krajský přebor)",1
1965_66,"Západočeský, 4. úroveň, skupina A",5
1965_66,"Severočeský, 3. úroveň (krajský přebor), skupina A",1
1965_66,"Východočeský, 3. úroveň (krajský přebor), skupina A",1
1965_66,"Východočeský, 4. úroveň, skupina A",2
1965_66,"Severomoravský, 4. úroveň, skupina A",2
1966_67,II.liga sk. A,3
1966_67,"Východočeský, 4. úroveň, skupina A",2
1966_67,"Jihomoravský, 4. úroveň, skupina A",8
1967_68,II.liga sk. A,2
1967_68,"Praha, 4. úroveň, skupina A",2
1967_68,"Východočeský, 4. úroveň, skupina A",1
1967_68,"Severomoravský, 4. úroveň, skupina A",6
1968_69,II.liga sk. A,6
1968_69,Divize sk. Západ,1
1968_69,"Praha, 4. úroveň, skupina A",2
1968_69,"Východočeský, 4. úroveň, skupina A",2
1968_69,"Jihomoravský, 4. úroveň, skupina E",6
1969_70,ČNHL sk. A,2
1969_70,"Centrální Morava, 4. úroveň, skupina A",5
1970_71,ČNHL skupina A,4
1971_72,II.liga sk. A,2
1971_72,"Praha, 3. úroveň (krajský přebor) I.A třída",6
1971_72,"Východočeský, 4. úroveň, skupina A",2
1971_72,"Jihomoravský, 3. úroveň (krajský přebor), skupina D",2
1971_72,"Jihomoravský, 4. úroveň, skupina A",2
1972_73,"Jihomoravský, 4. úroveň, skupina A",1
1973_74,I.ČNHL,3
1974_75,I.ČNHL,2
1975_76,Divize sk. A,1
1975_76,"Východočeský, 6. úroveň, skupina A",1
1976_77,I.ČNHL,3
1976_77,Divize sk. A,4
1976_77,"Východočeský, 6. úroveň, skupina A",1
1977_78,I.ČNHL,2
1977_78,Divize Slovensko sk. A,1
1978_79,I.ČNHL,1
1978_79,II.ČNHL sk. A,5
1979_80,I.ČNHL sk. A,2
1983_84,I.ČNHL,1
1984_85,I.ČNHL,2
1985_86,I.ČNHL,2
1985_86,"Východočeský, 5. úroveň, skupina A",1
1986_87,"Východočeský, 5. úroveň, skupina A",1
1991_92,Skupina Západ,1
1993_94,II.liga sk. A,3
1994_95,II.liga sk. A,3
1994_95,"Severomoravský, 4. úroveň KP I.třídy",1
1995_96,II.liga sk. A,2
1996_97,II.liga sk. A,1
1999_00,II.liga sk. A,2
2003_04,"Středočeský, 4. úroveň",9
2003_04,"Východočeský, 4. úroveň o udržení",13
2006_07,II.liga sk. A,1
2008_09,II.liga sk. A,3
2009_10,II.liga sk. Východ,1
2010_11,II.liga sk. Východ,2
2011_12,II.liga sk. Střed,2
2012_13,II.liga sk. A,2
2013_14,II.liga sk. Západ,2
2014_15,II.liga sk. Západ,2
2015_16,II.liga sk. Západ,2
2019_20,II.liga sk. Západ,1
